surface;player;winner_error_ratio;break_points_saved_pct;ace_rate;first_serve_pct;first_serve_pts_won;unreturned_serve_rate;serve_placement_variety;return_points_won_pct;break_point_conversion_pct;net_points_won_pct;crosscourt_ratio;slice_rate;drop_shot_frequency;drop_shot_effectiveness
Clay;Alexander Zverev;0.9007352941176471;0.6;0.05090909090909091;0.72;0.6290909090909091;0.06119402985074627;0.9996194867968982;0.4222972972972973;0.38372093023255816;0.6532663316582915;0.7583892617449665;0.06770098730606489;0.014809590973201692;0.2857142857142857
Clay;Andy Murray;0.9517543859649122;0.5;0.07627118644067797;0.6101694915254238;0.5932203389830508;0.011345218800648298;1.0256786431734348;0.3892857142857143;0.391304347826087;0.7046979865771812;0.7683727034120735;0.06601941747572816;0.03365695792880259;0.28846153846153844
Clay;Carlos Alcaraz;0.879245283018868;0.6285714285714286;0.025547445255474453;0.656934306569343;0.6058394160583942;0.0382262996941896;0.9761999565701165;0.43986254295532645;0.42168674698795183;0.6845637583892618;0.7716390423572744;0.08590657165479018;0.035233570863024546;0.34831460674157305
Clay;Daniil Medvedev;0.6504854368932039;0.5319148936170213;0.03508771929824561;0.5526315789473685;0.5657894736842105;0.025688073394495414;1.0148022117167608;0.4025974025974026;0.4375;0.6698113207547169;0.836873406966865;0.04868316041500399;0.019154030327214685;0.5416666666666666
Clay;David Goffin;0.7056737588652482;0.575;0.02711864406779661;0.6372881355932203;0.5796610169491525;0.0125;0.9856904860900768;0.3906810035842294;0.4603174603174603;0.7054794520547946;0.770893371757925;0.03566333808844508;0.010342368045649072;0.20689655172413793
Clay;Felix Auger Aliassime;1.1384615384615384;0.6785714285714286;0.06177606177606178;0.640926640926641;0.6061776061776062;0.06166666666666667;1.03592334529643;0.3865546218487395;0.4222222222222222;0.6953125;0.7488151658767772;0.0687266915290357;0.02184336707511987;0.4634146341463415
Clay;Grigor Dimitrov;0.8274509803921568;0.5737704918032787;0.05622489959839357;0.6506024096385542;0.6104417670682731;0.03288490284005979;1.0226910608893722;0.35144927536231885;0.34;0.7196969696969697;0.8140610545790934;0.1342769701606733;0.014919663351185922;0.38461538461538464
Clay;Hubert Hurkacz;0.8522727272727273;0.6153846153846154;0.1417004048582996;0.5465587044534413;0.6477732793522267;0.0064;0.9863438689686348;0.3943089430894309;0.3793103448275862;0.7049180327868853;0.7234927234927235;0.07688947138488422;0.015727391874180863;0.3333333333333333
Clay;Jannik Sinner;0.8481012658227848;0.711864406779661;0.04081632653061224;0.6040816326530613;0.6653061224489796;0.032;1.0802339807799322;0.37662337662337664;0.5;0.7;0.8014911463187325;0.03189341945902301;0.018570851836899476;0.30434782608695654
Clay;Kei Nishikori;0.7975206611570248;0.6071428571428571;0.040293040293040296;0.575091575091575;0.5934065934065934;0.012326656394453005;1.0647693501559738;0.4015444015444015;0.417910447761194;0.8111111111111111;0.7687385740402194;0.04380475594493116;0.015018773466833541;0.3611111111111111
Clay;Marin Cilic;0.8526645768025078;0.6290322580645161;0.1039426523297491;0.5806451612903226;0.6093189964157706;0.022590361445783132;0.9406889540107646;0.3890909090909091;0.3888888888888889;0.6412213740458015;0.7777777777777778;0.05;0.018695652173913044;0.4883720930232558
Clay;Matteo Berrettini;1.0541666666666667;0.5833333333333334;0.08968609865470852;0.6547085201793722;0.6098654708520179;0.07950530035335689;0.9784167222039601;0.33636363636363636;0.3888888888888889;0.6896551724137931;0.785234899328859;0.16395165528113506;0.0394114555964267;0.41333333333333333
Clay;Milos Raonic;0.8680555555555556;0.6470588235294118;0.09929078014184398;0.6453900709219859;0.6312056737588653;0.022988505747126436;1.016742815568323;0.27419354838709675;0.19047619047619047;0.675;0.7086614173228346;0.10751665080875357;0.0028544243577545195;0.3333333333333333
Clay;Novak Djokovic;0.8757062146892656;0.58;0.023696682464454975;0.6919431279620853;0.5971563981042654;0.005758157389635317;1.0089701961674669;0.4117647058823529;0.45161290322580644;0.6865671641791045;0.7591876208897486;0.032059186189889025;0.01726263871763255;0.35714285714285715
Clay;Rafael Nadal;1.1217948717948718;0.6888888888888889;0.0380952380952381;0.7095238095238096;0.6619047619047619;0.0038461538461538464;1.0761768361526292;0.45701357466063347;0.5068493150684932;0.7640449438202247;0.7346368715083799;0.0251211987659762;0.009255178492728075;0.5714285714285714
Clay;Roberto Bautista Agut;0.7111111111111111;0.6346153846153846;0.00980392156862745;0.6911764705882353;0.5784313725490197;0.012711864406779662;0.9447220617991212;0.31297709923664124;0.46153846153846156;0.6746987951807228;0.7747035573122529;0.07077100115074798;0.02186421173762946;0.39473684210526316
Clay;Roger Federer;0.9305555555555556;0.6323529411764706;0.09202453987730061;0.6226993865030674;0.6257668711656442;0.00831353919239905;1.0214737900567934;0.3557692307692308;0.37735849056603776;0.6556016597510373;0.7603960396039604;0.15190336749633968;0.01683748169838946;0.391304347826087
