player,surface,group,PC1,PC2
Alexander Zverev,Clay,others,-0.047055620673237826,0.3546774043464224
Andy Murray,Clay,others,-0.1766439399163787,-0.662736185927966
Carlos Alcaraz,Clay,sinner_alcaraz,-0.5973623330429937,0.9315331330176628
Daniil Medvedev,Clay,others,-1.0472923987146094,2.5238735285944585
David Goffin,Clay,others,-1.2709959206086208,1.324936578648179
Felix Auger Aliassime,Clay,others,-0.4368170487220194,-1.4186839750589106
Grigor Dimitrov,Clay,others,0.963658637874025,0.22854423256566447
Hubert Hurkacz,Clay,others,1.1229923249616744,-1.2555891912525412
Jannik Sinner,Clay,sinner_alcaraz,-2.101973520481732,0.3710063072381548
Kei Nishikori,Clay,others,-2.4146097788914944,-1.2517773219184916
Marin Cilic,Clay,others,1.2127787779255403,1.259770935479714
Matteo Berrettini,Clay,others,2.2634843869961876,-0.3612337775141543
Milos Raonic,Clay,others,3.413139781685523,-2.121940944581777
Novak Djokovic,Clay,big_3,-1.506333556108529,0.5173049495812081
Rafael Nadal,Clay,big_3,-3.3945875194092165,-2.134560736471279
Roberto Bautista Agut,Clay,others,0.32913576347596724,2.152798720935818
Roger Federer,Clay,big_3,1.9377884697139633,-0.5803786051435498
Stan Wawrinka,Clay,others,1.3089812958921474,0.694012335471677
Stefanos Tsitsipas,Clay,others,-0.7739191861988957,0.059496951816331904
Taylor Fritz,Clay,others,1.5947576095361777,1.2618229025763819
Tomas Berdych,Clay,others,-0.37912622529347945,-1.892877242403002
Alexander Zverev,Grass,others,0.9692081305017577,-1.119833234790536
Andy Murray,Grass,others,-0.535201171139288,-0.057469298017603955
Carlos Alcaraz,Grass,sinner_alcaraz,0.08907375441712932,0.18779861606383705
Daniil Medvedev,Grass,others,0.1343535334220786,-1.8811218106306633
David Goffin,Grass,others,-1.8911583100798188,1.166377751457391
Felix Auger Aliassime,Grass,others,1.0034212477953095,-0.9096143508196941
Grigor Dimitrov,Grass,others,-0.8214149282174124,0.12332895524061825
Hubert Hurkacz,Grass,others,0.029572613162163214,-2.2047499939574546
Jannik Sinner,Grass,sinner_alcaraz,-1.6822260993085019,1.0028304406970268
Kei Nishikori,Grass,others,-2.777192354885086,-0.45034121487057593
Marin Cilic,Grass,others,1.5896224236284464,0.33703322309700273
Matteo Berrettini,Grass,others,0.10504310632236964,-1.7131416520720189
Milos Raonic,Grass,others,2.4528845416867036,-0.6161739699665146
Novak Djokovic,Grass,big_3,-1.8785326633352066,0.012342357345274712
Rafael Nadal,Grass,big_3,-0.28941196300542144,0.14129988637361907
Roberto Bautista Agut,Grass,others,-1.341330509812759,3.6931807099197234
Roger Federer,Grass,big_3,0.2348403218539928,0.35416473025430417
Stan Wawrinka,Grass,others,1.8177400146549996,1.123662613949422
Stefanos Tsitsipas,Grass,others,3.606530640764698,2.345325965690741
Taylor Fritz,Grass,others,-0.3568769433202114,-1.011342898607379
Tomas Berdych,Grass,others,-0.45894538510594207,-0.5235568263565221
Alexander Zverev,Hard,others,1.3120814422528404,1.3740594709751033
Andy Murray,Hard,others,0.8870955093337675,-1.2262540937130617
Carlos Alcaraz,Hard,sinner_alcaraz,1.348417741446177,-0.5623116858295549
Daniil Medvedev,Hard,others,0.6393277481781829,-0.5796478300498316
David Goffin,Hard,others,0.5944039668447821,-1.3944363443926395
Felix Auger Aliassime,Hard,others,-1.7168138484526587,0.5376970444049005
Grigor Dimitrov,Hard,others,-2.165369614624494,0.12344944305195789
Hubert Hurkacz,Hard,others,0.1437481658973192,-0.7829997426817811
Jannik Sinner,Hard,sinner_alcaraz,0.5507087017345569,1.3910600316374584
Kei Nishikori,Hard,others,-0.29520506867383467,-3.2604726083667743
Marin Cilic,Hard,others,-0.3563712045524827,0.980298334435828
Matteo Berrettini,Hard,others,-3.6058224470884306,-0.2013835279984001
Milos Raonic,Hard,others,-2.263260366367025,1.9005981511773526
Novak Djokovic,Hard,big_3,2.561246126649298,0.6142027472465224
Rafael Nadal,Hard,big_3,-1.0177870201084045,-1.5533483567703588
Roberto Bautista Agut,Hard,others,2.517916100940972,-0.9325707981769501
Roger Federer,Hard,big_3,-0.7410856697182802,0.24972750750256825
Stan Wawrinka,Hard,others,0.6405615389242851,0.8580747325523611
Stefanos Tsitsipas,Hard,others,-0.035049646517305126,0.8533298148004158
Taylor Fritz,Hard,others,1.7515045129117013,1.9225406501381042
Tomas Berdych,Hard,others,-0.7502466690109657,-0.31161293994322103
