surface,sinner_PC1,sinner_PC2,alcaraz_PC1,alcaraz_PC2,big3_avg_PC1,big3_avg_PC2
Clay,-2.101973520481732,0.3710063072381548,-0.5973623330429937,0.9315331330176628,-0.9877108686012607,-0.7325447973445401
Grass,-1.6822260993085019,1.0028304406970268,0.08907375441712932,0.18779861606383705,-0.6443681014955451,0.16926899132439932
Hard,0.5507087017345569,1.3910600316374584,1.348417741446177,-0.5623116858295549,0.2674578122742044,-0.2298060340070894
