surface,component,explained_variance_ratio,cumulative_variance_ratio
Clay,1,0.33708578145604173,0.33708578145604173
Clay,2,0.21773817141322666,0.5548239528692684
Grass,1,0.28407246779294687,0.28407246779294687
Grass,2,0.22843457749774673,0.5125070452906936
Hard,1,0.29711082340990347,0.29711082340990347
Hard,2,0.196817168665972,0.49392799207587545
