surface,component,explained_variance_ratio,cumulative_variance_ratio
Clay,1,0.47111713816291195,0.47111713816291195
Clay,2,0.35772725541860984,0.8288443935815217
Grass,1,0.5196841174025011,0.5196841174025011
Grass,2,0.31183493997201556,0.8315190573745166
Hard,1,0.6636619555551249,0.6636619555551249
Hard,2,0.2382519237019908,0.9019138792571156
