variable,surface,PC1,PC2
winner_error_ratio,Clay,-0.0720869112581119,0.7642664721350688
unreturned_serve_rate,Clay,-0.4937499166905862,0.49226567115025677
serve_placement_variety,Clay,0.5669299714623232,0.40277717601524793
net_points_won_pct,Clay,0.6554425256657017,0.10649795800101619
winner_error_ratio,Grass,0.5626904255991318,0.39445791122993556
ace_rate,Grass,0.5621077969640884,-0.36876330365229054
unreturned_serve_rate,Grass,0.5052033554628879,0.44471610547669277
net_points_won_pct,Grass,-0.33493861998922425,0.7145937081147631
winner_error_ratio,Hard,0.558121692286434,0.1848356630946382
break_points_saved_pct,Hard,0.5264558738377625,-0.4378439098610032
fisrt_serve_pts_won,Hard,0.545880916563517,-0.2809721357736146
unreturned_serve_rate,Hard,0.3366874135348969,0.8337764371609503
