surface,component,explained_variance_ratio,cumulative_variance_ratio
Clay,1,0.3816237257235014,0.3816237257235014
Clay,2,0.251177037913224,0.6328007636367254
Grass,1,0.4008941070264114,0.4008941070264114
Grass,2,0.24156041073659798,0.6424545177630093
Hard,1,0.48003137926196604,0.48003137926196604
Hard,2,0.29635567562329695,0.7763870548852629
